Organization,AUM (USD),Agriculture Focus,Alignment with Saudi Vision 2030,Aquaculture Focus,Category,Check Size Max USD,Check Size Min USD,Co-Investment Potential,Confidence,Contact Name,Decision Maker LinkedIn URL,Decision Maker Name,Decision Maker Title,ESG/Impact Orientation,Email,Event,Follow-up Date,Geographic Focus,Geographic Focus (Enhanced),HQ Country,Impact Evidence URL,Instrument Type,Investment Approach,Investment Areas,Investment Thesis,Investor Type,Last Verified,MENA Experience,Next Action,Notes,Organization LinkedIn URL,Outreach Priority,Phone,Portfolio Examples,Position,Previous Aquaculture Investments,Priority Score,Regions Open to Explore,Research Sources,Saudi Evidence,Saudi Experience,Saudi Focus,Secondary Contact LinkedIn,Secondary Contact Name,Secondary Contact Title,Source,Stage Focus,Stage of Communication,Subsector Focus,Target Sector,Technical Expertise in RAS,Ticket Size,Typical Ticket Size (USD Million),Value-Chain Focus,Website
Tabuk Fisheries Company,,,Very High - Key partner in National Livestock and Fisheries Development Program,Direct,Highest Priority,,,Very High - Strategic JV partner,,Mohammed Al Hajji,,Nasser Al-Sharif,Chairman,No,mailto:m.hajji@tabuk-fish.com,,,"Saudi Arabia, NEOM, Red Sea",,Saudi Arabia (Riyadh),,Equity/Strategic Partnership,"Strategic aquaculture investor and operator - Major Saudi aquaculture company and NEOM joint venture partner. Established Topian Aquaculture JV with NEOM in 2024 (building on 2021 MoU). Developing largest hatchery in MENA region with 42M fingerlings capacity and 20kt finfish production. BAP certified. Part of Saudi Vision 2030 program targeting 600,000 tons annual fish production by 2030. Strong government backing from MEWA. Headquarters in Riyadh with production facilities in northwest Saudi Arabia (NEOM region). Strategic partner for Saudi aquaculture projects with proven execution capability, government relationships, and technical expertise. Open to partnerships and joint ventures in aquaculture sector.","Aquaculture, Food Security",,Strategic Investor/Operating Company,,Yes,Schedule meeting with Mohammed Al Hajji,"CRITICAL CONTACT: Saudi aquaculture leader with NEOM partnership. Mohammed Al Hajji is key contact. Company has proven track record, government backing, and largest hatchery project in MENA. Perfect strategic partner for Al-Birk project.",https://uk.linkedin.com/company/tabuk-pharmaceutical-mfg-co?trk=public_profile_experience-item_result-card_image-click,Hot Lead,055 757 5544,"Topian Aquaculture (NEOM JV), MENA's largest hatchery project",,"Topian Aquaculture JV with NEOM (42M fingerling hatchery, 20kt production)",95,,,,Yes,Primary focus - Saudi-based operator,,,,,Growth/Greenfield,Initial Contact Made,"Hatchery, Marine cage culture, RAS partnerships","Aquaculture, Marine Finfish",Partnership with Pure Salmon for RAS facility at NEOM,$10M - $100M+,50,,https://www.tabuk-fish.com/en/index.php?pa=about_1
Sulaiman Al-Rajhi Holding (SRH),,Direct,"Very High - Major Saudi family, food security focus",Indirect,Highest Priority,,,Very High - Family office with long-term horizon,,,,Sulaiman bin Abdulaziz Al-Rajhi,Chairman,Yes,mailto:info@asrhc.com,,,"Saudi Arabia, MENA, Global",,Saudi Arabia,,Equity / Strategic Partnership,,"Agriculture, Aquaculture, Food Security",,Family Office / Holding Company,,Yes,Identify agriculture/food security investment lead,"Major Al-Rajhi family holding with direct investments in agriculture (Al-Watania Agriculture), food production (Al-Watania Poultry - Saudi & Egypt), industry, real estate, and education. Strong food security mandate.",,Hot Lead,+966 11 244 7636,"Al-Watania Agriculture, Al-Watania Poultry (Saudi & Egypt), Al-Watania Industry, Atbara Cement",,Indirect through Al-Watania Agriculture,92,MENA,,,Yes,,,,,Strategic Target,Growth/Greenfield,To Be Contacted,"Agriculture, Poultry, Food Security, Manufacturing","Agriculture, Food Production, Aquaculture",Medium - Through Al-Watania agriculture operations,$20M - $100M,50,,https://srh.sa
Nayef Al-Rajhi Investment,,Indirect,Very High - Active Vision 2030 participant,Indirect,High Priority,,,High - Seeks diversification opportunities,,,,Nayef Saleh Abdulaziz Al-Rajhi,Founder & CEO,No,,,,"Saudi Arabia, Dubai, London",,Saudi Arabia,,Equity / Development Capital,,"Food Security, Food Systems, Infrastructure",,Private Equity / Family Office,,Yes,Position as Vision 2030 diversification opportunity,"Founded 2012, headquartered Riyadh with offices in London and Dubai. 350+ investments across 35 companies in 12 sectors. Strong real estate development background. Board member of Riyadh Chamber of Commerce tourism committee.",https://sa.linkedin.com/company/naif-alrajhi-investment-co,Warm Lead,,"Mimar Development, Al Mosthamer REIT (first REIT on Tadawul), Riyadh Real Estate Income Fund",,None - focus on real estate and hospitality,88,MENA,,,Yes,,,,,Strategic Target,Growth/Development,To Be Contacted,"Development, Hospitality, F&B, Technology, Manufacturing","Real Estate, Hospitality, Diversified",Low - Primarily real estate focus,$5M - $50M,25,,https://nalrajhi.com/
Al-Rajhi Investment Fund,,Direct,High - Local Saudi investment fund,Indirect,High Priority,,,Medium - Fund structure,,,,Abdulrahman Abdulaziz Al-Rajhi,Executive Director,No,mailto:info@alrajhifund.com.sa,,,Saudi Arabia,,Saudi Arabia,,Equity / Financing,,"Agriculture, Food Security, Infrastructure",,Investment Fund / Family Office,,Yes,Verify fund mandate and investment criteria,"Investment fund (est. 2005) focused on real estate, industrial, and agricultural investments in Saudi Arabia. Provides financing for small businesses and social contributions. Headquarters in Jeddah.",https://sz.linkedin.com/company/al-rajhi-international-for-investment?trk=public_profile_experience-item_profile-section-card_image-click,Warm Lead,+966 11 XXX XXXX,,,Limited,85,MENA,,,Yes,,,,,Strategic Target,Early Growth/SME,To Be Contacted,"Development, SME financing, Social impact","Real Estate, Industrial, Agriculture",Low,$3M - $30M,15,,https://alrajhifund.com.sa
Abdullah Abdulaziz Al-Rajhi & Sons Holding (Al-Rajhi Business),,Indirect,Very High - Established Saudi family business,Indirect,Highest Priority,,,High - Diversified holding seeking new sectors,,Rayes bin Shuhail,,Fahd Abdullah Al-Rajhi,Chairman,No,mailto:info@rajhibusiness.com,,,"Saudi Arabia, MENA",,Saudi Arabia,,Equity / Strategic Investment,,"Agriculture, Food Processing, Food Security, Infrastructure",,Family Office / Holding Company,,Yes,"Connect via Rayes bin Shuhail, verify investment mandate","Major Al-Rajhi family holding company (est. 2009) with investments across industrial, real estate, and investment sectors. Includes Rajhi Steel Industries, plastics manufacturing, consumer goods. Contact: Rayes bin Shuhail working under Abdulaziz Al-Rajhi branch.",https://sa.linkedin.com/company/abdullah-abdulaziz-al-rajhi-holding-co,Warm Lead,+966539622225,"Rajhi Steel Industries, Falcon Plastic Products, Al Jazirah Home Appliance, Beiren Water",,None identified - focus on industry & real estate,90,MENA,,,Yes,,,,,Strategic Target,Growth/Expansion,To Be Contacted,"Steel, Manufacturing, Real Estate, Consumer Goods","Diversified - Industry, Real Estate, Investment",Low - Needs technical partner,$10M - $80M,40,,https://rajhibusiness.com
Mohammed bin Abdulaziz Al-Rajhi & Sons Investment Co.,,Indirect,High - Industrial development focus,Indirect,High Priority,,,High - Seeks strategic industrial investments,,,,Bader bin Mohammed Al-Rajhi,Vice Chairman & Managing Director,No,mailto:info@rajhi-invest.com,,,"Saudi Arabia, MENA",,Saudi Arabia,,Equity / Strategic,,"Agriculture, Food Processing, Food Security, Infrastructure",,Family Office / Conglomerate,,Yes,Research current investment focus and connect,"Major Al-Rajhi family business founded 26+ years ago. Led by Mohammed bin Abdulaziz Al-Rajhi's sons including Bader (also Al Rajhi Bank board member). Focus on steel manufacturing, home appliances, and diversified investments.",,Warm Lead,+966 11 XXX XXXX,"Rajhi Steel Industries (est. 1984), Falcon Plastic Products, Al Jazirah Home Appliance",,None identified,87,MENA,,,Yes,,,,,Strategic Target,Growth/Industrial,To Be Contacted,"Steel production, Home appliances, Plastics","Industrial, Steel, Manufacturing",Low - Industrial manufacturing focus,$10M - $60M,30,,https://www.rajhi-invest.com/
Al-Aqeel Family Office / Jarir Group,,Indirect,High - Prominent Saudi business family,Indirect,High Priority,,,High - Family office structure,,Mohamed Alaqeel,,Mohammed Abdul Rahman Al-Aqeel,"Chairman, Jarir Marketing Company",No,mailto:info@jarir.com,,,"Saudi Arabia, GCC",,Saudi Arabia,,Equity / Angel Investment,,"Agriculture, Food Processing, Food Security, Infrastructure",,Angel Investor / Family Office,,Yes,"Research family office investment mandate, prepare targeted outreach","Prominent Al-Aqeel business family. Mohammed Al-Aqeel is Chairman of Jarir Marketing Company (Jarir Bookshops). Family businesses include retail, real estate, investment, furniture, and education (Children's Kingdom, Najd Schools). Founded multiple companies and serves on various boards.",https://en.wikipedia.org/wiki/Jarir_Bookstore,Warm Lead,+966550598675,"Jarir Marketing Company, Al-Andalus Real Estate, Sanabel Company, Najd Schools, Children's Kingdom",Angel Investor,To be confirmed,86,MENA,,,Yes,,,,,Strategic Target,Early Growth to Expansion,To Be Contacted,"Retail, Real Estate, Diversified Investments","Retail, Real Estate, Investment, Education",,$5M - $30M,15,,https://www.jarir.com/sa-en/about-jarir/company-profile
Private Investor,,,,,Networking,,,Low - Angel investor; limited information on check size and co-investment capacity,,Bader Alhowaish,,,,No,,,,Saudi Arabia,,Saudi Arabia,,,,"Agriculture, Aquaculture, Food Security",,Angel Investor,,Yes,Initial outreach to understand investment mandate,Private investor contact. Investment background and focus to be confirmed during initial contact.,,Cold Prospect,+966555383888,,,Unknown - Private angel investor attending conference. Track record and previous investments unclear,70,MENA,,,Yes,,,,,Strategic Target,,To Be Contacted,,,,,,,
Private Investor,,,,,Networking,,,Low - Angel investor; limited information on check size and co-investment capacity,,Abdullah Shaikaine,,,,No,mailto:abdullah.shkaine@hotmail.com,,,Saudi Arabia,,Saudi Arabia,,,,"Agriculture, Aquaculture, Food Security",,Angel Investor,,Yes,Initial outreach to understand investment focus,Private investor contact from personal network. Investment focus and background to be confirmed.,,Cold Prospect,+966537913819,,,Unknown - Private angel investor attending conference. Track record and previous investments unclear,70,MENA,,,Yes,,,,,Strategic Target,,To Be Contacted,,,,,,,
Ali Zaid Al-Quraishi & Brothers Company (AZAQ),,Indirect,Very High - Major Saudi holding aligned with Vision 2030,Indirect,Highest Priority,,,Very High - Large capital base,,,,Ali Zaid Al-Quraishi,Chairman,Yes,,,,"Saudi Arabia, MENA",,Saudi Arabia,,Equity / Strategic Investment,,"Agriculture, Food Security, Food Systems, Infrastructure",,Family Office / Holding Company,,Yes,"Research current investment focus, connect via Vision 2030 initiatives","Established 1958. One of largest investment holding companies in Saudi Arabia. Diversified portfolio across multiple sectors. Values: Accountability, Transparency, Respect, Excellence, Agility, Drive. Strong Vision 2030 commitment.",https://sa.linkedin.com/company/ali-zaid-al-quraishi-&-brothers-co,Warm Lead,+966 13 833 3339,,,To be confirmed,88,MENA,,,Yes,,,,,Strategic Target,Growth/Large-scale,To Be Contacted,Multiple sectors including infrastructure and food systems,Diversified Holdings,Low - Diversified holding,$15M - $80M,40,,https://www.alquraishi.com/
Kingdom Holding Company (Al Waleed bin Talal),,Indirect,High - Senior royal family member,Indirect,High Priority,,,High - Large investment vehicle,,Al Waleed bin Talal Al Saud,,Al Waleed bin Talal Al Saud,Founder & Chairman,No,mailto:info@kingdom.com.sa,,,"Saudi Arabia, Global",,Saudi Arabia,,Equity / Strategic Investment,,,,Royal Family Office / Public Holding,,Yes,Research current Saudi investment focus post-2017,"Prince Al Waleed bin Talal, nephew of King Abdullah. Net worth $17B+ (Forbes). Founded Kingdom Holding Company (KHC). Global investment portfolio. Note: Investment activity and focus may have shifted post-2017. Verify current investment mandate.",,Cold Prospect,+966 11 XXX XXXX,,,None identified,84,Global,,,Yes,,,,,Strategic Target,Growth/Mature,To Be Contacted,"Real estate, Technology, Hospitality, Financial services",Diversified - Global,Low,$10M - $200M,80,,https://www.nordicalpha.com/about
Zamil Group Holding Company,,Indirect,"Very High - Major Saudi conglomerate, partner in nation building",Indirect,Highest Priority,,,Very High - Diversified holding with strong capital base,,,,Adib AlZamil,Chief Executive Officer,Yes,mailto:info@zamil.com,,,"Saudi Arabia, Bahrain, MENA, Global",,Saudi Arabia,,Equity / Strategic Partnership,,"Agriculture, Food Processing, Food Security, Infrastructure",,Family Office / Conglomerate,,Yes,Position food security & Vision 2030 alignment,"Established 1920, one of Saudi Arabia's oldest family businesses. 102,000+ employees globally. Diversified portfolio: construction, manufacturing, petrochemicals, offshore services, real estate, investment. Strong industrial capabilities. Vision 2030 partner.",https://in.linkedin.com/company/zamil-group-holding?trk=ppro_cprof,Warm Lead,+966 13 8824888,"Zamil Industrial Investment Company (listed on Tadawul), Zamil Steel, Construction materials",,To be confirmed,89,Global,,,Yes,,,,,Strategic Target,Growth/Industrial,To Be Contacted,"Building materials, Offshore services, Industrial manufacturing","Diversified - Construction, Manufacturing, Petrochemicals, Real Estate",Medium - Manufacturing and industrial expertise,$20M - $100M,50,,https://zamil.com/?lang=en
Zamil Private Office,,Indirect,High - GCC family with Saudi interests,Indirect,High Priority,,,High - Family office structure,,,,Zamil Family,Family Office Management,No,mailto:info@zamil.com,,,"Bahrain, Saudi Arabia, GCC",,Bahrain,,Equity / Private Equity,,,,Single Family Office,,Yes,Identify family office investment lead,"Single family office based in Manama, Bahrain managing Zamil family wealth. Diversifies across various sectors for sustainable growth. Investment stages: Pre-Seed, Seed, Series A, Private Equity, Real Estate, Infrastructure.",,Warm Lead,+966 13 8824888,,,None identified,85,MENA,,,Yes,,,,,Strategic Target,Pre-Seed to Private Equity,To Be Contacted,"Real Estate, Infrastructure, Private Equity",Diversified,Low,$5M - $50M,20,,
